Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_020500905.1	ASM2050090v1	Aspergillus fumigatus		NRZ-2017-040					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTT01	287
GCA_048595945.2	ASM4859594v2	Aspergillus fumigatus		AfB6					Annotation submitted by University of Guelph	Contig	2025-09-11	JBMETL02	254
GCA_020500215.1	ASM2050021v1	Aspergillus fumigatus		NRZ-2017-339					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSK01	487
GCA_020500875.1	ASM2050087v1	Aspergillus fumigatus		NRZ-2017-076					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTR01	730
GCA_020500935.1	ASM2050093v1	Aspergillus fumigatus		NRZ-2017-039					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTU01	469
GCA_020500385.1	ASM2050038v1	Aspergillus fumigatus		NRZ-2018-236					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBST01	489
GCA_020500815.1	ASM2050081v1	Aspergillus fumigatus		NRZ-2017-115					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTP01	701
GCA_020500465.1	ASM2050046v1	Aspergillus fumigatus		NRZ-2018-043					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSY01	422
GCA_020500785.1	ASM2050078v1	Aspergillus fumigatus		NRZ-2017-195					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTN01	618
GCA_020499675.1	ASM2049967v1	Aspergillus fumigatus		NRZ-2016-141					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBRZ01	502
GCA_020500285.1	ASM2050028v1	Aspergillus fumigatus		NRZ-2016-032					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSP01	631
GCA_020500205.1	ASM2050020v1	Aspergillus fumigatus		NRZ-2018-326					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSJ01	799
GCA_020500775.1	ASM2050077v1	Aspergillus fumigatus		NRZ-2017-214					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTM01	454
GCA_020500705.1	ASM2050070v1	Aspergillus fumigatus		NRZ-2014-065					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTL01	653
GCA_020499755.1	ASM2049975v1	Aspergillus fumigatus		NRZ-2016-071					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSC01	733
GCA_020500455.1	ASM2050045v1	Aspergillus fumigatus		NRZ-2017-101					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBSW01	598
GCA_020499695.1	ASM2049969v1	Aspergillus fumigatus		NRZ-2016-342					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRY01	501
GCA_046867235.2	ASM4686723v2	Aspergillus fumigatus		AfB2					Annotation submitted by University of Guelph	Contig	2025-09-11	JBJNTG02	279
GCA_020500295.1	ASM2050029v1	Aspergillus fumigatus		NRZ-2018-300					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSN01	663
GCA_020500475.1	ASM2050047v1	Aspergillus fumigatus		NRZ-2018-097					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSX01	590
GCA_020500355.1	ASM2050035v1	Aspergillus fumigatus		NRZ-2018-272					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSS01	754
GCA_020500365.1	ASM2050036v1	Aspergillus fumigatus		NRZ-2018-281					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSR01	654
GCA_046867255.2	ASM4686725v2	Aspergillus fumigatus		AfB7					Annotation submitted by University of Guelph	Contig	2025-09-11	JBJNTF02	293
GCA_020500185.1	ASM2050018v1	Aspergillus fumigatus		NRZ-2018-313					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSL01	517
GCA_020500655.1	ASM2050065v1	Aspergillus fumigatus		NRZ-2017-322					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBTI01	496
GCA_020500645.1	ASM2050064v1	Aspergillus fumigatus		NRZ-2017-346					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBTH01	473
GCA_046867075.2	ASM4686707v2	Aspergillus fumigatus		AfB8					Annotation submitted by University of Guelph	Contig	2025-09-11	JBJNTE02	294
GCA_020500305.1	ASM2050030v1	Aspergillus fumigatus		NRZ-2018-286					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSQ01	491
GCA_020500595.1	ASM2050059v1	Aspergillus fumigatus		NRZ-2017-381					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTF01	635
GCA_020500685.1	ASM2050068v1	Aspergillus fumigatus		NRZ-2017-283					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTJ01	697
GCA_020500695.1	ASM2050069v1	Aspergillus fumigatus		NRZ-2017-282					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTK01	822
GCA_020500865.1	ASM2050086v1	Aspergillus fumigatus		NRZ-2017-069					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTS01	517
GCA_020499715.1	ASM2049971v1	Aspergillus fumigatus		NRZ-2016-108					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSB01	474
GCA_020500485.1	ASM2050048v1	Aspergillus fumigatus		NRZ-2017-546					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSZ01	867
GCA_020501935.1	ASM2050193v1	Aspergillus fumigatus		I-1-48-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVT01	693
GCA_020499865.1	ASM2049986v1	Aspergillus fumigatus		NRZ-2018-396					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSI01	658
GCA_020499805.1	ASM2049980v1	Aspergillus fumigatus		NRZ-2018-646					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSF01	540
GCA_020500445.1	ASM2050044v1	Aspergillus fumigatus		NRZ-2018-123					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSV01	581
GCA_020499825.1	ASM2049982v1	Aspergillus fumigatus		NRZ-2018-529					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSH01	584
GCA_020501425.1	ASM2050142v1	Aspergillus fumigatus		E-1-66s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUT01	602
GCA_020500765.1	ASM2050076v1	Aspergillus fumigatus		NRZ-2015-218					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTA01	527
GCA_020502095.1	ASM2050209v1	Aspergillus fumigatus		K-1-48s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWA01	872
GCA_020500805.1	ASM2050080v1	Aspergillus fumigatus		NRZ-2017-134					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTO01	624
GCA_020499815.1	ASM2049981v1	Aspergillus fumigatus		NRZ-2018-539					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSG01	506
GCA_020502105.1	ASM2050210v1	Aspergillus fumigatus		K-1-1L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWB01	612
GCA_020499685.1	ASM2049968v1	Aspergillus fumigatus		NRZ-2016-121					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSA01	690
GCA_020500555.1	ASM2050055v1	Aspergillus fumigatus		NRZ-2017-508					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTD01	663
GCA_020500085.1	ASM2050008v1	Aspergillus fumigatus		C-1-76s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRS01	773
GCA_020499915.1	ASM2049991v1	Aspergillus fumigatus		B-1-67L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRL01	720
GCA_020499785.1	ASM2049978v1	Aspergillus fumigatus		NRZ-2016-063					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSE01	1290
GCA_020500395.1	ASM2050039v1	Aspergillus fumigatus		NRZ-2018-146					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSU01	767
GCA_020503735.1	ASM2050373v1	Aspergillus fumigatus		A-2-47L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYT01	537
GCA_020498945.1	ASM2049894v1	Aspergillus fumigatus		E-1-70L-5					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBPY01	564
GCA_020501405.1	ASM2050140v1	Aspergillus fumigatus		A-2-49L-5					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUS01	585
GCA_020502045.1	ASM2050204v1	Aspergillus fumigatus		K-1-8L-3					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBVZ01	547
GCA_020500275.1	ASM2050027v1	Aspergillus fumigatus		NRZ-2018-290					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSO01	1001
GCA_020499905.1	ASM2049990v1	Aspergillus fumigatus		B-1-75L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRK01	552
GCA_020501635.1	ASM2050163v1	Aspergillus fumigatus		L-3-15-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVE01	538
GCA_020501185.1	ASM2050118v1	Aspergillus fumigatus		D-2-47L-2					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBUI01	585
GCA_020501495.1	ASM2050149v1	Aspergillus fumigatus		L-3-11-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUW01	819
GCA_020501985.1	ASM2050198v1	Aspergillus fumigatus		H-1-23-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVU01	611
GCA_020501005.1	ASM2050100v1	Aspergillus fumigatus		D-2-48L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTZ01	790
GCA_020503905.1	ASM2050390v1	Aspergillus fumigatus		B-1-78L-1					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBZB01	707
GCA_020498985.1	ASM2049898v1	Aspergillus fumigatus		E-1-70L-4					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQA01	793
GCA_020501105.1	ASM2050110v1	Aspergillus fumigatus		D-2-49L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUE01	573
GCA_020499015.1	ASM2049901v1	Aspergillus fumigatus		E-1-75s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQB01	799
GCA_020501535.1	ASM2050153v1	Aspergillus fumigatus		L-3-22-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUY01	726
GCA_020503885.1	ASM2050388v1	Aspergillus fumigatus		B-1-73L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYZ01	553
GCA_020498875.1	ASM2049887v1	Aspergillus fumigatus		B-1-45-5					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBPW01	515
GCA_020502005.1	ASM2050200v1	Aspergillus fumigatus		C-1-66L-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVW01	929
GCA_020499975.1	ASM2049997v1	Aspergillus fumigatus		B-1-66s-1					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBRN01	572
GCA_020501645.1	ASM2050164v1	Aspergillus fumigatus		L-3-21-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVF01	1005
GCA_020501265.1	ASM2050126v1	Aspergillus fumigatus		C-1-99L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUM01	598
GCA_020498905.1	ASM2049890v1	Aspergillus fumigatus		E-1-74s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBPX01	811
GCA_020499985.1	ASM2049998v1	Aspergillus fumigatus		B-1-63s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRO01	539
GCA_020500115.1	ASM2050011v1	Aspergillus fumigatus		C-1-80s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRV01	594
GCA_020503795.1	ASM2050379v1	Aspergillus fumigatus		A-2-27s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYX01	688
GCA_020500565.1	ASM2050056v1	Aspergillus fumigatus		NRZ-2017-434					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTE01	1020
GCA_020503825.1	ASM2050382v1	Aspergillus fumigatus		A-2-26s-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYY01	821
GCA_020503895.1	ASM2050389v1	Aspergillus fumigatus		B-1-66L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBZA01	663
GCA_020501075.1	ASM2050107v1	Aspergillus fumigatus		D-2-50s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUB01	589
GCA_020499995.1	ASM2049999v1	Aspergillus fumigatus		B-1-70s-1					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBRP01	580
GCA_020499775.1	ASM2049977v1	Aspergillus fumigatus		NRZ-2018-649					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSD01	1289
GCA_020501605.1	ASM2050160v1	Aspergillus fumigatus		L-3-13-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVC01	823
GCA_020499935.1	ASM2049993v1	Aspergillus fumigatus		B-1-68s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRM01	808
GCA_020498815.1	ASM2049881v1	Aspergillus fumigatus		D-2-47L-1					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBPS01	606
GCA_020498725.1	ASM2049872v1	Aspergillus fumigatus		D-2-28L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBPO01	629
GCA_020501445.1	ASM2050144v1	Aspergillus fumigatus		C-1-49-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUU01	878
GCA_020503175.1	ASM2050317v1	Aspergillus fumigatus		C-1-93s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBXP01	1107
GCA_020502025.1	ASM2050202v1	Aspergillus fumigatus		H-1-1-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVX01	679
GCA_020503915.1	ASM2050391v1	Aspergillus fumigatus		C-1-76s-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBZC01	796
GCA_020501905.1	ASM2050190v1	Aspergillus fumigatus		I-1-49-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVS01	1317
GCA_020498805.1	ASM2049880v1	Aspergillus fumigatus		D-2-49L-5					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBPR01	625
GCA_020500965.1	ASM2050096v1	Aspergillus fumigatus		C-1-77s-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTW01	590
GCA_020498865.1	ASM2049886v1	Aspergillus fumigatus		B-1-45-2					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBPV01	853
GCA_020501615.1	ASM2050161v1	Aspergillus fumigatus		L-3-11-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVD01	1015
GCA_020502695.1	ASM2050269v1	Aspergillus fumigatus		D-2-15L-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBXC01	691
GCA_020500105.1	ASM2050010v1	Aspergillus fumigatus		D-2-38L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRU01	682
GCA_020499605.1	ASM2049960v1	Aspergillus fumigatus		D-2-39L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRI01	992
GCA_020501475.1	ASM2050147v1	Aspergillus fumigatus		L-3-24-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUX01	1198
GCA_020501765.1	ASM2050176v1	Aspergillus fumigatus		G-2-14-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVK01	990
GCA_020500195.1	ASM2050019v1	Aspergillus fumigatus		D-2-2s-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRX01	859
GCA_020501325.1	ASM2050132v1	Aspergillus fumigatus		C-1-69s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUL01	1339
GCA_020499255.1	ASM2049925v1	Aspergillus fumigatus		D-2-22s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQP01	749
GCA_020499575.1	ASM2049957v1	Aspergillus fumigatus		D-2-2s-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRE01	799
GCA_020501245.1	ASM2050124v1	Aspergillus fumigatus		C-1-34s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUK01	818
GCA_020501895.1	ASM2050189v1	Aspergillus fumigatus		C-1-24L-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVQ01	956
GCA_020503935.1	ASM2050393v1	Aspergillus fumigatus		D-2-32L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBZD01	761
GCA_020501345.1	ASM2050134v1	Aspergillus fumigatus		A-3-37s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUP01	919
GCA_020499115.1	ASM2049911v1	Aspergillus fumigatus		E-1-7-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQG01	970
GCA_020503445.1	ASM2050344v1	Aspergillus fumigatus		L-2-7-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYF01	819
GCA_020501815.1	ASM2050181v1	Aspergillus fumigatus		G-2-22-4					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVO01	594
GCA_020501145.1	ASM2050114v1	Aspergillus fumigatus		A-2-35L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUG01	977
GCA_020503375.1	ASM2050337v1	Aspergillus fumigatus		L-2-15-4					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYB01	848
GCA_020502165.1	ASM2050216v1	Aspergillus fumigatus		E-1-20-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWE01	784
GCA_020502425.1	ASM2050242v1	Aspergillus fumigatus		A-3-43s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWP01	723
GCA_020499155.1	ASM2049915v1	Aspergillus fumigatus		C-1-51s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQK01	743
GCA_020502235.1	ASM2050223v1	Aspergillus fumigatus		A-3-40L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWJ01	868
GCA_020501095.1	ASM2050109v1	Aspergillus fumigatus		A-2-45L-5					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUC01	769
GCA_020502325.1	ASM2050232v1	Aspergillus fumigatus		A-3-45L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWK01	1000
GCA_020499485.1	ASM2049948v1	Aspergillus fumigatus		C-1-28L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRA01	852
GCA_020503065.1	ASM2050306v1	Aspergillus fumigatus		D-2-26s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBXL01	1164
GCA_020501255.1	ASM2050125v1	Aspergillus fumigatus		E-1-67s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUO01	735
GCA_020501045.1	ASM2050104v1	Aspergillus fumigatus		D-2-43s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUA01	897
GCA_020502545.1	ASM2050254v1	Aspergillus fumigatus		E-1-46-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWV01	1194
GCA_020499265.1	ASM2049926v1	Aspergillus fumigatus		D-2-25L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQO01	1059
GCA_020499005.1	ASM2049900v1	Aspergillus fumigatus		C-1-93L-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQC01	1547
GCA_020502225.1	ASM2050222v1	Aspergillus fumigatus		H-1-30-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWH01	931
GCA_020501375.1	ASM2050137v1	Aspergillus fumigatus		C-1-67s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBUR01	846
GCA_020501715.1	ASM2050171v1	Aspergillus fumigatus		G-2-9-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVH01	972
GCA_020503705.1	ASM2050370v1	Aspergillus fumigatus		K-1-34L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYQ01	755
GCA_020501575.1	ASM2050157v1	Aspergillus fumigatus		L-3-13-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVB01	1355
GCA_020503745.1	ASM2050374v1	Aspergillus fumigatus		A-2-48s-2					Annotation submitted by Leibniz-HKI	Scaffold	2021-10-14	JAIBYU01	1722
GCA_020503095.1	ASM2050309v1	Aspergillus fumigatus		F-1-3L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBXN01	971
GCA_020500235.1	ASM2050023v1	Aspergillus fumigatus		NRZ-2018-307					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBSM01	1869
GCA_020500165.1	ASM2050016v1	Aspergillus fumigatus		C-1-40s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRW01	771
GCA_020499585.1	ASM2049958v1	Aspergillus fumigatus		D-2-29s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRG01	695
GCA_020499645.1	ASM2049964v1	Aspergillus fumigatus		D-2-43L-2					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRJ01	1080
GCA_020501555.1	ASM2050155v1	Aspergillus fumigatus		L-3-24-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBVA01	922
GCA_020502375.1	ASM2050237v1	Aspergillus fumigatus		L-2-4-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBWN01	1100
GCA_020499135.1	ASM2049913v1	Aspergillus fumigatus		E-1-56s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQJ01	915
GCA_020503455.1	ASM2050345v1	Aspergillus fumigatus		L-2-9-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYD01	754
GCA_020503725.1	ASM2050372v1	Aspergillus fumigatus		A-2-47s-3					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBYS01	705
GCA_020499325.1	ASM2049932v1	Aspergillus fumigatus		C-1-33L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQS01	854
GCA_020499335.1	ASM2049933v1	Aspergillus fumigatus		C-1-27s-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQT01	991
GCA_020499075.1	ASM2049907v1	Aspergillus fumigatus		E-1-25-10					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBQF01	1041
GCA_020500535.1	ASM2050053v1	Aspergillus fumigatus		NRZ-2017-537					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTB01	1799
GCA_020499885.1	ASM2049988v1	Aspergillus fumigatus		C-1-60L-1					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBRH01	1081
